id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
341640,NG-0015,heliport,Olusegun Obasanjo Presidential Library Abeokuta Helipad,7.12457,3.36565,,AF,Nigeria,NG,Ogun State,NG-OG,OG,Abeokuta,0,,,,,,,0,2021-03-04T16:34:56+00:00
341641,NG-0016,heliport,June 12 Cultural Centre Abeokuta Helipad,7.1356,3.35426,,AF,Nigeria,NG,Ogun State,NG-OG,OG,Abeokuta,0,,,,,,,0,2021-03-04T16:37:41+00:00
341690,NG-0020,heliport,Aso Rock Heliport,9.060744,7.515767,,AF,Nigeria,NG,Abuja Capital Territory,NG-FC,FC,Abuja,0,,,,,,,0,2021-03-05T13:46:13+00:00
341692,NG-0022,heliport,Moshood Abiola National Stadium Helipad,9.037663,7.450715,,AF,Nigeria,NG,Abuja Capital Territory,NG-FC,FC,Abuja,0,,,,,,,0,2021-03-05T13:56:50+00:00
341747,NG-0023,heliport,AMSH Helipad,7.601521,5.307133,,AF,Nigeria,NG,Ekiti State,NG-EK,EK,Ado Ekiti,0,,,,,,,0,2021-03-08T10:33:59+00:00
42463,NG-0001,closed,Agbara-Otor Airport,5.538911,6.088,43,AF,Nigeria,NG,Delta State,NG-DE,DE,Agbara-Otor,0,,,,,,,0,2021-10-06T17:14:01+00:00
341526,NG-0010,heliport,Mazi Alex Otti Heliport,5.38936,7.90098,,AF,Nigeria,NG,Abia State,NG-AB,AB,Arochukwu,0,,,,,,,0,2021-03-02T12:18:58+00:00
344673,NG-0024,closed,Bacita Airstrip,9.0421,4.9188,489,AF,Nigeria,NG,Kwara State,NG-KW,KW,Bacita,0,,,,,,,0,2021-05-19T02:17:09+00:00
341525,NG-0009,heliport,Nigeria LNG Helipad,4.38406,7.18491,,AF,Nigeria,NG,Rivers State,NG-RI,RI,Bonny,0,,,,,,,0,2021-03-02T12:14:53+00:00
341639,NG-0014,heliport,Daura Heliport,13.05149,8.30958,,AF,Nigeria,NG,Katsina State,NG-KT,KT,Daura,0,,,,,,,0,2021-03-04T16:33:24+00:00
352638,NG-0025,heliport,Forçados Terminal Heliport,5.35986,5.35239,11,AF,Nigeria,NG,Delta State,NG-DE,DE,Forçados,0,,,,,,,0,2022-02-11T14:31:29+00:00
341691,NG-0021,heliport,Maryland Heliport,6.572639,3.366441,95,AF,Nigeria,NG,Lagos State,NG-LA,LA,Ikeja,0,,,,,,,0,2021-04-13T03:05:57+00:00
341643,NG-0018,heliport,Otuoke Heliport,4.78744,6.29216,,AF,Nigeria,NG,Bayelsa State,NG-BY,BY,Otuoke,0,,,,,,,0,2021-03-04T16:49:41+00:00
341527,NG-0011,heliport,Shell Industrial Area Heliport,4.82821,7.03292,,AF,Nigeria,NG,Rivers State,NG-RI,RI,Port Harcourt,0,,,,,,,0,2021-03-02T12:20:06+00:00
341528,NG-0012,heliport,Agip Heliport,4.7992,6.97343,,AF,Nigeria,NG,Rivers State,NG-RI,RI,Port Harcourt,0,,,,,,,0,2021-03-02T12:21:56+00:00
341529,NG-0013,heliport,Exxon Mobil Aba Road Estate Heliport,4.86782,7.08422,,AF,Nigeria,NG,Rivers State,NG-RI,RI,Port Harcourt,0,,,,,,,0,2021-03-02T12:24:48+00:00
330057,NG-0008,closed,Suntai Airstrip,7.909458,10.374472,475,AF,Nigeria,NG,Taraba State,NG-TA,TA,Suntai,0,,,,,,,0,2019-01-13T11:59:19+00:00
341644,NG-0019,heliport,Yenagoa Heliport,4.95212,6.2714,,AF,Nigeria,NG,Bayelsa State,NG-BY,BY,Yenagoa,0,,,,,,,0,2021-03-04T16:50:57+00:00
